_c0,ts,open,high,low,close,volume,ts_readable,ma_50_raw,ma_50,prev_close,prev_ma50,buy_signal
12797,1736457420000,186.3,186.55,186.2,186.26,1733.195,2025-01-10 02:47:00,184.5846,184.5846,186.3,184.5368,0
12798,1736457480000,186.25,186.51,186.21,186.51,2686.954,2025-01-10 02:48:00,184.6432,184.6432,186.26,184.5846,0
12799,1736457540000,186.52,186.6,186.3,186.53,1063.711,2025-01-10 02:49:00,184.7108,184.7108,186.51,184.6432,0
12800,1736457600000,186.53,186.56,186.3,186.41,1195.708,2025-01-10 02:50:00,184.77739999999997,184.77739999999997,186.53,184.7108,0
12801,1736457660000,186.42,186.61,186.38,186.57,1859.071,2025-01-10 02:51:00,184.852,184.852,186.41,184.77739999999997,0
12802,1736457720000,186.57,186.84,186.52,186.84,1251.697,2025-01-10 02:52:00,184.9332,184.9332,186.57,184.852,0
12803,1736457780000,186.84,187.02,186.72,186.91,1982.949,2025-01-10 02:53:00,185.0086,185.0086,186.84,184.9332,0
12804,1736457840000,186.9,187.03,186.72,186.73,1147.522,2025-01-10 02:54:00,185.0742,185.0742,186.91,185.0086,0
12805,1736457900000,186.73,186.79,186.19,186.19,1739.207,2025-01-10 02:55:00,185.1416,185.1416,186.73,185.0742,0
12806,1736457960000,186.19,186.34,186.15,186.26,1365.153,2025-01-10 02:56:00,185.21259999999998,185.21259999999998,186.19,185.1416,0
12807,1736458020000,186.26,186.48,186.17,186.18,1446.432,2025-01-10 02:57:00,185.283,185.283,186.26,185.21259999999998,0
12808,1736458080000,186.18,186.21,186.04,186.16,1399.133,2025-01-10 02:58:00,185.36480000000003,185.36480000000003,186.18,185.283,0
12809,1736458140000,186.16,186.23,186.1,186.12,635.937,2025-01-10 02:59:00,185.43940000000003,185.43940000000003,186.16,185.36480000000003,0
12810,1736458200000,186.12,186.12,185.64,185.69,1638.272,2025-01-10 03:00:00,185.49360000000004,185.49360000000004,186.12,185.43940000000003,0
12811,1736458260000,185.68,185.94,185.29,185.94,3312.7,2025-01-10 03:01:00,185.54980000000003,185.54980000000003,185.69,185.49360000000004,0
12812,1736458320000,185.94,185.96,185.69,185.93,1115.471,2025-01-10 03:02:00,185.59960000000004,185.59960000000004,185.94,185.54980000000003,0
12813,1736458380000,185.94,185.96,185.62,185.77,2543.218,2025-01-10 03:03:00,185.63920000000005,185.63920000000005,185.93,185.59960000000004,0
12814,1736458440000,185.78,185.78,185.5,185.52,898.428,2025-01-10 03:04:00,185.66940000000002,185.66940000000002,185.77,185.63920000000005,0
12815,1736458500000,185.52,185.7,185.32,185.5,1553.585,2025-01-10 03:05:00,185.697,185.697,185.52,185.66940000000002,0
12816,1736458560000,185.5,185.67,185.43,185.64,1483.79,2025-01-10 03:06:00,185.71899999999997,185.71899999999997,185.5,185.697,0
12817,1736458620000,185.63,186.02,185.63,185.91,1479.549,2025-01-10 03:07:00,185.74419999999995,185.74419999999995,185.64,185.71899999999997,1
12818,1736458680000,185.91,186.15,185.9,186.09,922.404,2025-01-10 03:08:00,185.77239999999998,185.77239999999998,185.91,185.74419999999995,0
12819,1736458740000,186.09,186.2,186.0,186.14,1034.931,2025-01-10 03:09:00,185.80479999999997,185.80479999999997,186.09,185.77239999999998,0
12820,1736458800000,186.14,186.23,185.95,186.17,1122.28,2025-01-10 03:10:00,185.84399999999997,185.84399999999997,186.14,185.80479999999997,0
12821,1736458860000,186.17,186.17,185.78,185.95,1254.533,2025-01-10 03:11:00,185.8862,185.8862,186.17,185.84399999999997,0
12822,1736458920000,185.96,185.98,185.73,185.73,1172.861,2025-01-10 03:12:00,185.92680000000001,185.92680000000001,185.95,185.8862,0
12823,1736458980000,185.73,185.74,185.55,185.64,1147.915,2025-01-10 03:13:00,185.95699999999997,185.95699999999997,185.73,185.92680000000001,0
12824,1736459040000,185.64,185.67,185.51,185.66,1888.062,2025-01-10 03:14:00,185.98059999999998,185.98059999999998,185.64,185.95699999999997,0
12825,1736459100000,185.67,185.85,185.32,185.33,1690.085,2025-01-10 03:15:00,185.9918,185.9918,185.66,185.98059999999998,0
12826,1736459160000,185.32,185.32,185.1,185.15,1764.31,2025-01-10 03:16:00,185.9846,185.9846,185.33,185.9918,0
12827,1736459220000,185.14,185.15,184.91,185.03,2612.789,2025-01-10 03:17:00,185.975,185.975,185.15,185.9846,0
12828,1736459280000,185.03,185.03,184.75,184.84,2070.075,2025-01-10 03:18:00,185.9678,185.9678,185.03,185.975,0
12829,1736459340000,184.84,184.85,184.64,184.77,1891.46,2025-01-10 03:19:00,185.96020000000004,185.96020000000004,184.84,185.9678,0
12830,1736459400000,184.77,185.31,184.69,185.14,1656.461,2025-01-10 03:20:00,185.96540000000005,185.96540000000005,184.77,185.96020000000004,0
12831,1736459460000,185.15,185.3,185.08,185.12,1866.991,2025-01-10 03:21:00,185.96120000000008,185.96120000000008,185.14,185.96540000000005,0
12832,1736459520000,185.11,185.12,184.72,184.76,4336.51,2025-01-10 03:22:00,185.93760000000003,185.93760000000003,185.12,185.96120000000008,0
12833,1736459580000,184.77,185.11,184.7,185.11,2932.828,2025-01-10 03:23:00,185.91960000000003,185.91960000000003,184.76,185.93760000000003,0
12834,1736459640000,185.12,185.17,184.87,184.96,1517.475,2025-01-10 03:24:00,185.90060000000003,185.90060000000003,185.11,185.91960000000003,0
12835,1736459700000,184.97,185.15,184.8,184.96,3555.316,2025-01-10 03:25:00,185.87820000000002,185.87820000000002,184.96,185.90060000000003,0
12836,1736459760000,184.96,185.19,184.94,185.08,1138.894,2025-01-10 03:26:00,185.8568,185.8568,184.96,185.87820000000002,0
12837,1736459820000,185.07,185.09,184.85,184.86,1503.985,2025-01-10 03:27:00,185.8322,185.8322,185.08,185.8568,0
12838,1736459880000,184.86,184.87,184.71,184.73,1195.439,2025-01-10 03:28:00,185.8016,185.8016,184.86,185.8322,0
12839,1736459940000,184.72,184.81,184.7,184.77,1075.011,2025-01-10 03:29:00,185.77439999999999,185.77439999999999,184.73,185.8016,0
12840,1736460000000,184.78,184.88,184.51,184.78,2749.563,2025-01-10 03:30:00,185.74500000000003,185.74500000000003,184.77,185.77439999999999,0
12841,1736460060000,184.78,185.02,184.67,184.9,1779.491,2025-01-10 03:31:00,185.71500000000003,185.71500000000003,184.78,185.74500000000003,0
12842,1736460120000,184.9,184.97,184.78,184.95,3301.55,2025-01-10 03:32:00,185.692,185.692,184.9,185.71500000000003,0
12843,1736460180000,184.95,185.13,184.85,185.12,2077.029,2025-01-10 03:33:00,185.67440000000002,185.67440000000002,184.95,185.692,0
12844,1736460240000,185.12,185.21,185.06,185.08,1213.845,2025-01-10 03:34:00,185.6526,185.6526,185.12,185.67440000000002,0
12845,1736460300000,185.08,185.18,184.55,184.56,1383.31,2025-01-10 03:35:00,185.625,185.625,185.08,185.6526,0
12846,1736460360000,184.56,184.56,183.99,184.13,5224.67,2025-01-10 03:36:00,185.58159999999995,185.58159999999995,184.56,185.625,0
12847,1736460420000,184.12,184.2,183.98,184.11,2220.518,2025-01-10 03:37:00,185.53859999999997,185.53859999999997,184.13,185.58159999999995,0
12848,1736460480000,184.11,184.37,183.86,184.37,2330.743,2025-01-10 03:38:00,185.49579999999997,185.49579999999997,184.11,185.53859999999997,0
12849,1736460540000,184.37,184.42,184.21,184.21,1487.638,2025-01-10 03:39:00,185.44939999999994,185.44939999999994,184.37,185.49579999999997,0
12850,1736460600000,184.21,184.23,183.71,183.77,2962.149,2025-01-10 03:40:00,185.39659999999995,185.39659999999995,184.21,185.44939999999994,0
12851,1736460660000,183.76,184.1,183.64,184.07,3127.814,2025-01-10 03:41:00,185.3466,185.3466,183.77,185.39659999999995,0
12852,1736460720000,184.07,184.15,183.56,183.6,2224.694,2025-01-10 03:42:00,185.2818,185.2818,184.07,185.3466,0
12853,1736460780000,183.6,183.62,183.25,183.27,2371.799,2025-01-10 03:43:00,185.20899999999997,185.20899999999997,183.6,185.2818,0
12854,1736460840000,183.27,183.55,183.23,183.49,3642.597,2025-01-10 03:44:00,185.14419999999998,185.14419999999998,183.27,185.20899999999997,0
12855,1736460900000,183.49,184.12,183.46,184.12,6898.326,2025-01-10 03:45:00,185.1028,185.1028,183.49,185.14419999999998,0
12856,1736460960000,184.12,184.15,183.88,184.13,2048.611,2025-01-10 03:46:00,185.0602,185.0602,184.12,185.1028,0
12857,1736461020000,184.12,184.32,184.12,184.28,1283.134,2025-01-10 03:47:00,185.02219999999997,185.02219999999997,184.13,185.0602,0
12858,1736461080000,184.28,184.7,184.16,184.68,3628.023,2025-01-10 03:48:00,184.99259999999998,184.99259999999998,184.28,185.02219999999997,0
